"","X.5","X.4","X.3","X.2","X.1","immigrant_code","group","degree","strength","strength_assoc","eigenvector_centrality","total_scans","total_dyads","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male","degree_normalized"
"142",142,142,142,142,143,"tas",NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,"LT","2019-12-04","2021-11-23",720,NA,NA,NA,NA,FALSE,0,NA,"2020-12-03",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-12-03",NA,NA,NA,NA,NA
"143",143,143,143,143,144,"tam",NA,15,19,0.303454619610309,0.168667037161431,18,504,144,NA,NA,NA,"NH","2020-05-15","2023-03-03",1022,NA,NA,NA,NA,FALSE,0,NA,"2021-05-15",TRUE,TRUE,6,0.113,0.3,"2021-05-10","2021-05-10",10,6,0.255,0.457,"2022-12-14","2022-12-14",35,21,"2021-05-15",5,5,79,79,0.326086956521739
"144",144,144,144,144,145,"utr",NA,12,14,0.177191206179929,0.122299566312495,13,506,145,NA,NA,NA,"NH","2020-06-02","2020-10-15",135,NA,NA,NA,NA,FALSE,0,NA,"2021-06-02",TRUE,TRUE,6,0.492,1,"2021-05-28","2021-05-28",12,6,NA,NA,NA,NA,0,0,"2021-06-02",5,5,NA,NA,0.260869565217391
"145",145,145,145,145,146,"vla",NA,13,14,0.203209475930801,0.124495975925814,14,504,146,NA,NA,NA,"NH","2020-05-28","2021-06-11",379,NA,NA,NA,NA,FALSE,0,NA,"2021-05-28",TRUE,TRUE,8,0.135,0.223,"2021-05-24","2021-05-24",26,8,0.029,0.068,"2021-05-29","2021-05-29",27,9,"2021-05-28",4,4,13,13,0.282608695652174
"146",146,146,146,146,147,"fle",NA,18,27,0.304904816029687,0.207694850094573,21,521,147,NA,NA,NA,"NH","2020-07-31","2021-11-04",461,NA,NA,NA,NA,FALSE,0,NA,"2021-07-31",TRUE,TRUE,16,0.051,0.184,"2021-07-28","2021-07-28",22,16,0.052,0.276,"2021-10-04","2021-10-04",26,19,"2021-07-31",3,3,31,31,0.391304347826087
"147",147,147,147,147,148,"war",NA,19,38,0.364196135278681,0.241168754256824,31,513,148,NA,NA,NA,"NH","2020-09-23","2021-12-20",453,NA,NA,NA,NA,FALSE,0,NA,"2021-09-23",TRUE,TRUE,9,0.171,0.428,"2021-09-20","2021-09-17",20,9,0.243,0.428,"2021-12-16","2021-09-17",22,9,"2021-09-23",3,6,4,94,0.441860465116279
"148",148,148,148,148,149,"mui",NA,NA,NA,NA,NA,NA,NA,149,"Mielies","BD","2020-11-25","PR","2024-01-31","2024-01-31",0,"2023-11-25",TRUE,1096,"miel",TRUE,1096,0.236,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA,NA
"149",149,149,149,149,150,"sio",NA,22,40,0.400254690896993,0.286932225808323,34,402,150,NA,NA,NA,"NH","2021-01-15","2021-12-22",341,NA,NA,NA,NA,FALSE,0,NA,"2022-01-15",FALSE,TRUE,28,0,0,"2021-11-06","2021-10-27",63,28,0,0,"2021-11-06","2021-10-27",63,28,"2022-01-15",70,80,46,56,0.511627906976744
"150",150,150,150,150,151,"rim",NA,NA,NA,NA,NA,NA,NA,151,"Rabat","NH","2021-01-01","RB","2024-02-02","2024-02-02",0,"2024-01-01",TRUE,1096,"raba",TRUE,1096,0.306,"2025-02-01",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-02-01",NA,NA,NA,NA,NA
"151",151,151,151,151,152,"tch",NA,16,21,0.308065031024439,0.277353340086521,19,307,152,NA,NA,NA,"AK","2021-05-11","2022-03-17",310,NA,NA,NA,NA,FALSE,0,NA,"2022-05-11",TRUE,TRUE,6,0.333,1,"2022-02-24","2021-10-09",17,6,0.333,1,"2022-02-24","2021-10-09",17,6,"2022-05-11",76,214,21,159,0.571428571428571
"152",152,152,152,152,153,"buk",NA,16,27,0.294437947381622,0.316486126762924,22,323,153,NA,NA,NA,"AK","2021-05-11","2024-09-09",1217,NA,NA,NA,NA,FALSE,0,NA,"2022-05-11",TRUE,TRUE,4,0.18,0,"2022-05-06","2021-12-21",16,4,0.436,0,"2024-06-05","2024-06-05",106,37,"2022-05-11",5,141,96,96,0.571428571428571
"153",153,153,153,153,154,"oke",NA,15,57,0.452926574828945,0.390808724212845,48,188,154,NA,NA,NA,"KB","2021-05-31","2023-01-28",607,NA,NA,NA,NA,FALSE,0,NA,"2022-05-31",TRUE,TRUE,1,0.513,1,"2022-04-16","2022-01-19",6,1,0.435,1,"2022-12-10","2022-11-26",13,3,"2022-05-31",45,132,49,63,0.75
"154",154,154,154,154,155,"eto",NA,10,16,0.212270555907111,0.205463859282675,14,129,155,NA,NA,NA,"KB","2021-06-02","2021-12-10",191,NA,NA,NA,NA,FALSE,0,NA,"2022-06-02",FALSE,TRUE,1,0.531,0,"2021-12-04","2021-11-29",2,1,0.531,NA,"2021-12-04",NA,2,1,"2022-06-02",180,185,6,NA,0.526315789473684
"155",155,155,155,155,156,"apa",NA,6,11,0.271361819573601,0.355223354786445,9,181,156,NA,NA,NA,"LT","2021-06-04","2022-07-26",417,NA,NA,NA,NA,FALSE,0,NA,"2022-06-04",TRUE,TRUE,3,0.459,0.609,"2021-11-13","2021-11-13",6,3,0.459,0.609,"2021-11-13","2021-11-13",6,3,"2022-06-04",203,203,255,255,0.176470588235294
"156",156,156,156,156,157,"mom",NA,5,10,0.166555755161551,0.203271543455618,10,276,157,NA,NA,NA,"LT","2021-06-04","2022-12-19",563,NA,NA,NA,NA,FALSE,0,NA,"2022-06-04",TRUE,TRUE,3,0.32,0.013,"2022-05-03","2021-11-29",5,3,0.32,0.013,"2022-05-03","2021-11-29",5,3,"2022-06-04",32,187,230,385,0.147058823529412
"157",157,157,157,157,158,"plainjane",NA,NA,NA,NA,NA,NA,NA,158,NA,"CR",NA,"BD","2023-03-01","2024-04-04",400,NA,NA,NA,NA,FALSE,0,NA,"2024-02-29",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-02-29",NA,NA,NA,NA,NA
"158",158,158,158,158,159,"zan_2015",NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,"CR","2015-01-01","2015-02-01",31,NA,NA,NA,NA,FALSE,0,NA,"2016-01-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-01-01",NA,NA,NA,NA,NA
"159",159,159,159,159,160,"hem",NA,NA,NA,NA,NA,NA,NA,160,"Heerlik","BD","2021-11-04","PR","2024-01-31","2024-01-31",0,"2024-11-04",FALSE,1052,"heer",FALSE,1052,0.396,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA,NA
"160",160,160,160,160,161,"fur",NA,24,53,0.623266751667754,0.571299617746271,45,356,161,NA,NA,NA,"KB","2022-03-19","2023-10-14",574,NA,NA,NA,NA,FALSE,0,NA,"2023-03-19",TRUE,TRUE,3,0.323,0.099,"2022-11-26","2022-11-26",6,3,0.788,0.099,"2023-07-21","2022-11-26",9,3,"2023-03-19",113,113,85,322,1.09090909090909
"161",161,161,161,161,162,"vry",NA,17,22,0.555401848899191,0.422448275934738,18,602,162,NA,NA,NA,"NH","2022-06-10","2024-12-12",916,NA,NA,NA,NA,FALSE,0,NA,"2023-06-10",TRUE,TRUE,23,0.227,0.059,"2023-06-09","2023-06-01",25,23,0.266,0.323,"2024-04-18","2024-03-01",45,35,"2023-06-10",1,9,238,286,0.326923076923077
"162",162,162,162,162,163,"erm",NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,"NH","2022-06-16","2022-09-09",85,NA,NA,NA,NA,FALSE,0,NA,"2023-06-16",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-16",NA,NA,NA,NA,NA
"163",163,163,163,163,164,"newmale3",NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,"NH","2022-06-16","2022-08-06",51,NA,NA,NA,NA,FALSE,0,NA,"2023-06-16",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-16",NA,NA,NA,NA,NA
"164",164,164,164,164,165,"eiv",NA,NA,NA,NA,NA,NA,18,165,NA,NA,NA,"CR","2022-06-09","2024-04-04",665,NA,NA,NA,NA,FALSE,0,NA,"2023-06-09",TRUE,TRUE,1,0.675,0.596,"2023-06-09","2023-06-09",1,1,0.675,0.596,"2023-06-09","2023-06-09",1,1,"2023-06-09",0,0,300,300,NA
"165",165,165,165,165,166,"rya",NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,"LT","2022-06-06","2023-02-01",240,NA,NA,NA,NA,FALSE,0,NA,"2023-06-06",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-06",NA,NA,NA,NA,NA
"166",166,166,166,166,167,"que",NA,18,31,0.508399020481379,0.423441342796581,26,346,167,NA,NA,NA,"KB","2022-05-18","2025-02-27",1016,NA,NA,NA,NA,FALSE,0,NA,"2023-05-18",TRUE,TRUE,5,0.241,0.639,"2023-04-25","2023-04-25",25,5,0.192,0,"2024-08-26","2024-08-26",42,15,"2023-05-18",23,23,185,185,0.75
"167",167,167,167,167,168,"dak",NA,10,10,0.444270327765987,0.28497245723177,8,542,168,NA,NA,NA,"NH","2022-09-10","2023-09-05",360,NA,NA,NA,NA,FALSE,0,NA,"2023-09-10",FALSE,TRUE,3,0.235,0.397,"2023-06-21","2023-06-02",15,3,0.235,0.397,"2023-06-21","2023-06-02",15,3,"2023-09-10",81,100,76,95,0.188679245283019
"168",168,168,168,168,169,"sta",NA,1,1,0.142857142857143,0.0480364565053985,1,159,169,NA,NA,NA,"LT","2022-07-29","2023-12-15",504,NA,NA,NA,NA,FALSE,0,NA,"2023-07-29",TRUE,FALSE,0,0.467,NA,"2023-04-04",NA,4,0,0.467,NA,"2023-04-04",NA,4,0,"2023-07-29",116,NA,255,NA,0.0273972602739726
"169",169,169,169,169,170,"kny",NA,25,27,0.7578291008435,0.445653203496431,21,620,170,NA,NA,NA,"NH","2022-10-17","2025-03-20",885,NA,NA,NA,NA,FALSE,0,NA,"2023-10-17",TRUE,TRUE,5,0.256,0.172,"2023-10-13","2023-08-11",12,5,0.44,0.127,"2025-03-18","2025-03-18",29,13,"2023-10-17",4,67,2,2,0.480769230769231
"170",170,170,170,170,171,"kno",NA,10,11,0.541276555215174,0.418151968819224,10,564,171,NA,NA,NA,"BD","2022-11-07","2024-01-19",438,NA,NA,NA,NA,FALSE,0,NA,"2023-11-07",TRUE,TRUE,9,0.288,0.178,"2023-10-12","2023-06-22",15,9,0.23,0.178,"2023-12-19","2023-06-22",16,9,"2023-11-07",26,138,31,211,0.12987012987013
"171",171,171,171,171,172,"ves",NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,"CR","2021-05-25","2022-12-08",562,NA,NA,NA,NA,FALSE,0,NA,"2022-05-25",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2022-05-25",NA,NA,NA,NA,NA
"172",172,172,172,172,173,"bob",NA,5,5,0.557575757575758,0.288746067774452,5,381,173,NA,NA,NA,"BD","2023-04-08","2024-01-15",282,NA,NA,NA,NA,FALSE,0,NA,"2024-04-07",FALSE,TRUE,5,0.314,0.224,"2023-12-08","2023-12-08",9,5,0.314,0.224,"2023-12-08","2023-12-08",9,5,"2024-04-07",121,121,38,38,0.0649350649350649
"173",173,173,173,173,174,"cai",NA,9,13,0.520543870135522,0.2999256619595,11,382,174,NA,NA,NA,"NH","2023-03-25","2023-10-31",220,NA,NA,NA,NA,FALSE,0,NA,"2024-03-24",FALSE,TRUE,7,0.287,0.347,"2023-08-11","2023-06-14",14,7,0.287,0.347,"2023-08-11","2023-06-14",14,7,"2024-03-24",226,284,81,139,0.173076923076923
"174",174,174,174,174,175,"hav",NA,12,16,0.65372921326428,0.340295090227134,14,363,175,NA,NA,NA,"NH","2023-03-25","2024-10-25",580,NA,NA,NA,NA,FALSE,0,NA,"2024-03-24",TRUE,TRUE,11,0.121,0.155,"2023-07-27","2023-07-27",16,11,0.121,0.155,"2023-07-27","2023-07-27",16,11,"2024-03-24",241,241,456,456,0.230769230769231
"175",175,175,175,175,176,"san",NA,NA,NA,NA,NA,NA,7,176,NA,NA,NA,"IF","2023-04-10","2023-08-04",116,NA,NA,NA,NA,FALSE,0,NA,"2024-04-09",TRUE,TRUE,2,0.672,0.471,"2023-05-11","2023-05-11",2,2,0.672,0.471,"2023-05-11","2023-05-11",2,2,"2024-04-09",334,334,85,85,NA
"176",176,176,176,176,177,"tho",NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,"IF","2023-04-14","2023-08-04",112,NA,NA,NA,NA,FALSE,0,NA,"2024-04-13",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-04-13",NA,NA,NA,NA,NA
"177",177,177,177,177,178,"tot",NA,16,19,0.907248348934982,8.76008633104732e-14,16,386,178,NA,NA,NA,"BD","2023-04-14","2024-01-23",284,NA,NA,NA,NA,FALSE,0,NA,"2024-04-13",FALSE,TRUE,5,0.21,0.159,"2024-01-15","2023-12-08",10,5,0.21,0.159,"2024-01-15","2023-12-08",10,5,"2024-04-13",89,127,8,46,0.207792207792208
"178",178,178,178,178,179,"win",NA,4,4,0.296918767507003,0.408778325334537,4,313,179,NA,NA,NA,"BD","2023-04-15","2023-12-23",252,NA,NA,NA,NA,FALSE,0,NA,"2024-04-14",TRUE,TRUE,5,0.29,0.164,"2023-11-21","2023-06-29",6,5,0.29,0.164,"2023-11-21","2023-06-29",6,5,"2024-04-14",145,290,32,177,0.051948051948052
"179",179,179,179,179,180,"bra",NA,3,3,0.355555555555556,0,3,449,180,NA,NA,NA,"BD","2023-04-17","2024-11-25",588,NA,NA,NA,NA,FALSE,0,NA,"2024-04-16",TRUE,TRUE,6,0.181,0.481,"2024-04-16","2023-12-08",11,6,0.626,1,"2024-11-20","2024-11-20",25,15,"2024-04-16",0,130,5,5,0.038961038961039
"180",180,180,180,180,181,"boo",NA,19,21,0.904934457337203,0.694494147927577,17,431,181,NA,NA,NA,"BD","2023-07-15","2025-05-22",677,NA,NA,NA,NA,FALSE,0,NA,"2024-07-14",TRUE,TRUE,8,0.393,0.545,"2024-07-08","2024-07-08",15,8,0.426,0.678,"2025-04-01","2025-04-01",20,12,"2024-07-14",6,6,51,51,0.26027397260274
"181",181,181,181,181,182,"ush",NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,"RB","2024-02-02","2024-02-02",0,NA,NA,NA,NA,FALSE,0,NA,"2025-02-01",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-02-01",NA,NA,NA,NA,NA
"182",182,182,182,182,183,"oti",NA,2,2,0.583333333333333,0.0340776241326635,2,49,183,NA,NA,NA,"KB","2024-04-11","2025-04-01",355,NA,NA,NA,NA,FALSE,0,NA,"2025-04-11",FALSE,FALSE,0,0.648,NA,"2024-10-15",NA,2,0,0.648,NA,"2024-10-15",NA,2,0,"2025-04-11",178,NA,168,NA,0.0833333333333333
"183",183,183,183,183,184,"map",NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,"NH","2024-04-30","2024-07-12",73,NA,NA,NA,NA,FALSE,0,NA,"2025-04-30",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-04-30",NA,NA,NA,NA,NA
"184",184,184,184,184,185,"lop",NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,"BD","2025-05-05","2025-05-13",8,NA,NA,NA,NA,FALSE,0,NA,"2026-05-05",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2026-05-05",NA,NA,NA,NA,NA
"185",185,185,185,185,186,"san_2011",NA,NA,NA,NA,NA,NA,119,186,NA,NA,NA,"AK","2011-01-18","2012-12-14",696,NA,NA,NA,NA,FALSE,0,NA,"2012-01-18",TRUE,TRUE,4,0.648,0.685,"2011-12-15","2011-12-15",12,4,0.855,1,"2012-11-09","2012-11-09",34,23,"2012-01-18",34,34,35,35,NA
