"Nb","Individual","Code","Nicknames","Sex","EarMark","DOB","DOB Accuracy","FirstRecorded","DateAdult","PresentGp","BirthGp","Mother","Father","DepartureNatalGp","ImmigrationGp1","DateImmigration1","LastSeen1","ImmigrationGp2","DateImmigration2","LastSeen2","ImmigrationGp3","DateImmigration3","LastSeen3","ImmigrationGp4","DateImmigration4","LastSeen4","Reliable data","Comments"
"629","Flensburg","Fle",,"M",,,,"16/06/2020",,,,,,,"NH","31/07/2020","04/11/2021","NH","18/01/2022","06/05/2023",,,,,,,,"Nickname was RedCoatGuy before he was named. He left Noha and joined Congo, his collar data is being downloaded during NH and Congo encounters"
"596","Fluister","Flu","Jack","M",,,,"30/04/2019",,,,,,,"BD","30/04/2019","13/01/2023",,,,,,,,,,"No","previously known as Jack, until sept 2019"
"21","Foei","Foei",,"F",,,,"09/11/2010",,,"BD",,,,,,"19/04/2011",,,,,,,,,,,"Fate unknown - split gp?"
"314","Formentera","Form",,"F",,,,"28/10/2014",,,"CR",,,,"SplitCR","12/01/2017","10/04/2017",,,,,,,,,,,
"799","Freyja","Frey",,"F",,,,"28/06/2022",,"IF","IF",,,,,,,,,,,,,,,,"Yes",
"249","Fudu","Fud",,"M",,,,"11/06/2013",,,,,,,"AK","11/06/2013","11/09/2015",,,,,,,,,,,
"687","Fuerteventura","Fuer","Holey; Hole","F",,,,"01/06/2021",,"CR","CR",,,,,,,,,,,,,,,,"Yes",
"787","Furry Glen","Fur","Blackbelly","M","10",,,"19/03/2022",,,,,,,"KB","19/03/2022","14/10/2023",,,,,,,,,,"No","he is called by the nickname until they figure out who is he. He is very much habituated"
"305","Gaaf","Gaa",,"M",,"20/10/2014","day","20/10/2014",,,"BD","Gesels","Okucane","08/06/2019","CR",,"18/06/2019",,,,,,,,,,,"Immigration date is not clear but last seen was  2019/06/18 during an encounter with BD and he was still with crossing and after that he has no records with crossing."
"853","Gabaroni","Gab",,"M",,"15/12/2022","day","15/12/2022",,,"NH","Gaya",,,,,"30/01/2024",,,,,,,,,,"Yes",
"463","Gabillou","Gabi",,"F",,"14/11/2016","day","14/11/2016",,,"NH","Gaya",,,,,"08/06/2018",,,,,,,,,,,
"73","Gagasa","Gaga",,"F",,,,"18/01/2011",,,"AK",,,,,,"03/03/2016",,,,,,,,,,,"Died in BGE/by poaching dog (see BGE/alarm forms)"
"372","Galapagos","Gala",,"F",,,,"06/01/2015",,,"CR",,,,,,,,,,,,,,,,"Yes","seen on last day CR followed 2018/07/20"
"403","Galati","Gala",,"F",,"23/10/2015","day","23/10/2015",,,"NH","Gaya",,,,,"18/04/2016",,,,,,,,,,,"dead, says seen a month later in logbook but likely mistake"
"745","Galeria","Gale",,"F",,"05/11/2021","day","05/11/2021",,"NH","NH","Gaya",,,,,,,,,,,,,,,"Yes",
"845","Galiano","Gal",,"M",,"01/01/2022","year","02/12/2022",,"CR","CR","Galapagos",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"528","Gangtok","Gan",,"M",,"13/11/2017","day","13/11/2017",,,"NH","Gaya",,"24/12/2021",,,"24/12/2021",,,,,,,,,,,
"210","Garoua","Gar",,"M","20","11/10/2012","day","11/10/2012",,,"NH","Geneva",,"23/06/2016","5males","14/07/2016","14/07/2016",,,,,,,,,,,"seen 14/07/2016 in gp of 5 sub males"
"757","Gasket","Gas",,"M",,"01/01/2021","year","25/10/2021",,,"CR","Galapagos",,,,,"08/01/2024",,,,,,,,,,"Yes",
"134","Gaya","Gaya",,"F",,"14/11/2011","day","14/11/2011",,,"NH","Geneva",,,,,"13/04/2024",,,,,,,,,,"No",
"202","Geleza","Gele",,"F",,"29/09/2012","day","29/09/2012",,,"AK","Gagasa","Yster",,,,"23/01/2018",,,,,,,,,,,"Gele was eaten by rock python 22nd-23rd Jan "
"183","Gelosi","Gel",,"M",,"01/01/2007","year","14/05/2012",,,"AK","Gagasa",,"01/06/2012","LT","04/06/2012","28/10/2013",,,,,,,,,,,"Probably born in 2007"
"71","Geneva","Gene",,"F","1",,,"13/01/2011",,,"NH",,,,,,"23/07/2019",,,,,,,,,,,"UNK birth date"
"594","George","Geo",,"M",,,,"18/03/2019",,,,,,,"LT","18/03/2019","18/03/2022",,,,,,,,,,,
"94","Gesels","Gese","Little boks;JG","F","15","01/01/2009","year","12/04/2011",,,"BD",,,,,,"27/09/2024",,,,,,,,,,"No","Born in 2009"
"647","Ghandaghanda","Gha",,"M",,"17/11/2020","day","17/11/2020",,"AK","AK","Ghida",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"163","Ghangaan","Ghan",,"F",,"01/01/2009","year","28/01/2012",,,"AK","Gagasa","Sanbonani",,,,"06/11/2015",,,,,,,,,,,"Born in 2009;last seen crossing fence with newborn, presumed dead"
"320","Ghida","Ghid",,"F",,"31/10/2014","day","31/10/2014",,"AK","AK","Ghangaan","Elton",,,,,,,,,,,,,,"Yes",
"569","Ghidigidi","Ghi",,"M","20","12/11/2018","day","12/11/2018",,,"AK","Ghida",,"21/01/2021",,,"21/01/2021",,,,,,,,,,,"probably born the day before (Sunday)"
"229","Ghozololo","Gho",,"M",,"05/11/2012","day","05/11/2012",,,"AK","Ghangaan","Yster","28/01/2016",,,"28/01/2016",,,,,,,,,,,"Maybe migrated, but probably died"
"639","Gibela","Gib",,"M",,"12/11/2020","day","12/11/2020",,"AK","AK","Ginqinka",,"Still present",,,"Still present",,,,,,,,,,"Yes","Probably born during the night"
"48","Gigolo","Gig",,"M",,,,"07/12/2010",,,,,,,"BD","07/12/2010","07/12/2010",,,,,,,,,,,"Individual seen just once"
"855","Gijima","Giji",,"F",,"01/12/2022","month","29/12/2022",,"AK","AK","Ghida",,,,,,,,,,,,,,,"Yes",
"578","Gilane","Gil",,"M",,"20/11/2018","day","20/11/2018","13/05/2023",,"AK","Ginqinka",,"13/05/2023","IF","22/05/2023","05/09/2024",,,,,,,,,,,"Found died from the sleeping site, samples were taken."
"66","Gino","Gin",,"M",,"01/01/2007","year","24/12/2010",,,"RC",,,"25/11/2011",,,"25/11/2011",,,,,,,,,,"No","Probably born in 2007"
"300","Ginqinka","Ginq",,"F",,"18/10/2014","day","18/10/2014",,"AK","AK","Gagasa",,,,,,,,,,,,,,,"Yes",
"119","Giya","Giy",,"M",,"07/10/2011","day","07/10/2011",,,"AK","Gagasa","Sanbonani","18/09/2013",,,"18/09/2013",,,,,,,,,,,"Probably dead"
"262","Glastonbury","Gla",,"M",,"12/11/2013","day","12/11/2013",,,"NH","Geneva","Ertjies","14/05/2018","Jacaranda","28/05/2018","28/05/2018",,,,,,,,,,,"Seen 26th of May 2018 unhabituated gr Jakaranda"
"815","Gloed","Glo",,"M",,"04/11/2022","day","04/11/2022",,,"BD","Gesels",,,,,"29/03/2023",,,,,,,,,,"No",
"849","Goat","Goa",,"M",,"01/12/2022","month","08/12/2022",,"CR","CR","Goose",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"725","Gobela","Gobe",,"F",,"12/11/2021","day","12/11/2021",,"AK","AK","Goduka",,,,,,,,,,,,,,,"Yes",
"493","Goduka","Godu",,"F",,"09/10/2017","day","09/10/2017",,,"AK","Geleza",,,,,"12/09/2023",,,,,,,,,,,
"549","Goed","Goe",,"M",,"26/10/2018","day","26/10/2018","05/09/2023",,"BD","Gesels",,"29/03/2024",,,"28/03/2023",,,,,,,,,,"No",
"706","Gollum",,,,,"01/01/2011","year",,,,"CR",,,,,,,,,,,,,,,,"No","Born 2011"
"724","Gomonqo","Gom",,"M",,"03/11/2021","day","03/11/2021",,"AK","AK","Ginqinka",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"890","Gona","Gon",,"M",,"01/10/2023","month","01/10/2023",,"AK","AK","Ginqinka",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"497","Goose","Goos",,"F",,,,"10/10/2017",,,"CR","Galapagos",,,,,"20/07/2018",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
"682","Goose","Goos","CrazyEyes","F",,,,"25/05/2021",,"CR","CR",,,,,,,,,,,,,,,,"Yes",
"707","Gosh",,,,,"01/01/2014","year",,,,"CR",,,,,,,,,,,,,,,,"No","Born 2014"
"164","Govu","Gov",,"M",,"01/01/2008","year","28/01/2012",,,"AK","Gagasa","Sanbonani","19/12/2013","Intaka","31/01/2014","13/06/2014","NH","20/06/2014","27/02/2017","CR","01/03/2017","23/03/2017",,,,,"Probably born in 2008, seen once in CR in Dec 2016, recorded once more in IN in Sept 14"
"345","Granada","Gran",,"F",,"08/12/2014","day","08/12/2014",,,"NH","Geneva","Auckland",,,,"12/10/2024",,,,,,,,,,"NO",
"621","Greenbay","Gree",,"F",,"06/11/2019","day","06/11/2019",,"NH","NH","Granada",,"Still present",,,,,,,,,,,,,,
"335","Greenland",,,,,"12/11/2014","day","12/11/2014",,,"CR","Galapagos",,,,,"25/02/2015",,,,,,,,,,,"Born 2014, presumed dead "
"655","Griffin","Gri",,"M",,"23/11/2020","day","23/11/2020",,"NH","NH","Granada",,"Still present",,,,,,,,,,,,,,
"814","Grimsby","Grim",,"F",,"04/11/2022","day","04/11/2022",,"NH","NH","Griselles",,,,,,,,,,,,,,,"Yes",
"588","Griselles","Gris",,"F",,"13/12/2018","day","13/12/2018","26/10/2022","NH","NH","Granada",,,,,,,,,,,,,,,,
"744","Grive","Griv",,"F",,"03/11/2021","day","03/11/2021",,"NH","NH","Granada",,,,,,,,,,,,,,,"Yes",
"92","Grote","Gro","JI;Big balls","M",,,,"07/04/2011",,,"BD",,,"21/03/2012","NH","01/05/2012","25/01/2013",,,,,,,,,,,
"820","Guadalajara","Gua",,"M",,"08/11/2022","day","08/11/2022",,"NH","NH","Guatemala",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"470","Guatemala","Guat",,"F",,"22/11/2016","day","22/11/2016",,,"NH","Geneva",,,,,"18/08/2024",,,,,,,,,,"No","last seen on the darting day and she was darted and was fine after"
"581","Gubane","Guba",,"F",,"25/11/2018","day","25/11/2018","26/10/2022",,"AK","Gubha",,,,,"07/02/2023",,,,,,,,,,,"1/12/2020 she dissapeared and after few days of not being seen she was taken out from the files and forms`, after 6 six weeks she appeared again in the group and had a very large wound on the chick."
"323","Gubha","Gubh",,"F",,"01/11/2014","day","01/11/2014",,,"AK","Gugu","Elton",,,,"16/08/2024",,,,,,,,,,"No","she was darted and was never found.  Her body was  found  on the 25/09/2024 and she still had the dart on her chest"
"668","Gubudu","Gub",,"M",,"01/12/2021","month","11/12/2020",,"AK","AK","Gubha",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"4","Gugu","Gugu",,"F",,"02/11/2010","day","02/11/2010",,,"AK","Gagasa",,,,,"18/03/2021",,,,,,,,,,,"Body found floating on the second dam on the 18/03/2021"
"60","Guns and Roses","Gun",,"M",,,,"18/12/2010",,,,,,,"RC",,"18/12/2010",,,,,,,,,,"No","Only recorded once"
"467","Gunya","Guny",,"F","2","16/11/2016","day","16/11/2016",,,"AK","Gugu",,,,,"31/10/2019",,,,,,,,,,,"Presumed dead"
"643","Gusha","Gus",,"M",,"16/11/2020","day","16/11/2020",,,"AK","Gugu",,"11/03/2021",,,"11/03/2021",,,,,,,,,,,"last seen on the 11/03/2021 and his mom was later on found floating on the second dam 18.03.21 but not sure what happened to him"
"8","Guyaquil","Guy",,"M",,"05/11/2010","day","05/11/2010",,,"NH","Geneva",,"22/04/2015",,,"22/04/2015",,,,,,,,,,,
"555","Guzunga","Guz",,"M",,"01/10/2018","month","01/11/2018",,"IF","AK","Gugu",,"13/05/2023","IF","22/05/2023","17/04/2024","KB","30/04/2024","Still present","IF","08/06/2024","Still present",,,,"Yes","Probably born few days earlier"
"731","Haaigranaat","Haai",,"F",,"04/11/2021","day","04/11/2021",,"PR","BD","Hondjie",,"13/01/2024","PR","31/01/2024","31/01/2024",,,,,,,,,,"Yes",
"40","Hakie","Haki",,"F","3",,,"23/11/2010",,,"BD",,,,,,"12/02/2014",,,,,,,,,,,"Fate unknown"
"301","Halfy","Hal",,"M",,,,"18/10/2014",,,"LT",,,,"FirstLTsplinter",,"01/07/2015",,,,,,,,,,,"Only mentioned once on first recorded date and no other data, seen in splinter group July 2015 "
"61","Hamba","Hamb",,"F",,,,"18/12/2010",,,"AK",,,,,,"22/08/2015",,,,,,,,,,,"Disappeared - body not found"
"101","Hamlet","Ham","SMA","M","20","01/01/2007","year","14/05/2011",,,"LT",,,"07/05/2013","AK","24/05/2013","14/05/2014","BD","28/05/2014","26/05/2015","CR","18/08/2015","24/10/2015",,,,,"Probably born in 2007, left AK between 14th March and 20th April 2014, seen once more in CR in Jan 2016"
"361","Handi","Han",,"M",,"01/01/2012","year","31/12/2014",,,"CR",,,"29/04/2017","BD","06/05/2017","04/03/2020",,,,,,,,,,,"Born 2012"
"105","Harry","Har",,"M",,,,"09/06/2011",,,,,,,"LT","09/06/2011","28/08/2012",,,,,,,,,,,"First noted in LT logbook 11/06/09"
"431","Hasie","Has",,"M",,"19/11/2015","day","19/11/2015",,,"BD","Heerlik",,"17/05/2016",,,"17/05/2016",,,,,,,,,,,"Don't have the real Last seen Date, approximation, presumed dead"
"863","Havana","Hav","FakeGeorge","M",,,,"25/03/2023",,"NH",,,,,"NH","25/03/2023","25/10/2024","NH","11/02/2025","Still present",,,,,,," Yes","Seen in logbook at least until 2024-09-07 (sadly I am unsure if I have the full dataset), however he has been having social interactions in 2024.  Date was 25/10/2024, so I simply changed the year thinking it might be a typo. (Maria Granell Ruiz making the change)"
"794","Hawai","Haw","NewMale110622; Formentera","M",,,,"11/06/2022",,,,,,,"CR","11/06/2022",,,,,,,,,,,"Yes",
"708","Heart",,,,,"01/01/2014","year",,,,"CR",,,,,,,,,,,,,,,,"No","Born 2014"
"859","Hebe","Heb",,"M",,"01/01/2023","month","18/01/2023",,"IF","IF","Hera",,,,,,,,,,,,,,,"Yes",
"518","Heelal","Hee",,"M",,"30/10/2017","day","30/10/2017",,,"BD","Heerlik",,"20/01/2023",,,"20/01/2023",,,,,,,,,,,
"34","Heerlik","Heer",,"F",,"01/11/2010","month","16/11/2010",,,"BD","Hakie","Auckland",,,,"20/09/2024",,,,,,,,,,"No","DOB unconfirmed"
"321","Heilweis","Hei",,"M",,"31/10/2014","day","31/10/2014",,,"BD","Heerlik",,"08/06/2019","CR","01/04/2021","08/12/2022",,,,,,,,,,,"Seen with CR but date of immigration might not be exact as gp not habituated/not followed when he probably moved there"
"184","Heleza","Hele",,"F",,"01/01/2008","year","14/05/2012",,,"AK","Hamba","Sanbonani",,,,"01/11/2014",,,,,,,,,,,"Prob born in 2008; disappeared with fresh wounds (broken tail), no body found, presumed dead"
"649","Helikopter","Heli",,"F",,"19/11/2020","day","19/11/2020",,,"BD","Heerlik",,,,,"14/09/2022",,,,,,,,,,,"Born during the night of 18/11/20. Dissappeared on 14 or 15 sept (BD not followed on the 15th)."
"362","Helmet","Hel",,"M",,"01/01/2012","year","31/12/2014",,,"CR",,,"03/02/2018",,,"03/02/2018",,,,,,,,,,,"Born 2012, likely migrated"
"732","Hemel","Hem",,"M",,"04/11/2021","day","04/11/2021",,"PR","BD","Heerlik",,"13/01/2024","PR","31/01/2024","31/01/2024",,,,,,,,,,"Yes",
"373","Henderson","Hen",,"M",,,,"06/01/2015",,,,,,,"CR","06/01/2015","26/05/2015",,,,,,,,,,,
"797","Hera","Hera",,"F",,,,"28/06/2022",,,"IF",,,,,,"13/08/2024",,,,,,,,,,"No","Found dead on the 25/09/2024. Autopsy revealed positive tests for starvation and pneumonia."
"844","Herskep","Her",,"M",,"07/12/2022","day","07/12/2022",,,"BD","Heerlik",,"17/09/2024",,,"17/09/2024",,,,,,,,,,"No",
"212","Heyi","Hey",,"M",,"15/10/2012","day","15/10/2012",,,"AK","Heleza","Yster","24/04/2017",,,"24/04/2017",,,,,,,,,,,
"550","Hiasint","Hia",,"M",,"26/10/2018","day","26/10/2018",,,"BD","Hippie",,"08/04/2021",,,"08/04/2021",,,,,,,,,,,"Last seen in BD is 08/04/2021 according to logbook but more likely 03/04/2021. "
"5","Hibe","Hib",,"M","12","02/11/2010","day","02/11/2010",,,"AK","Hamba","Sanbonani","15/05/2015",,,"15/05/2015",,,,,,,,,,,
"475","Hibiscus","Hibi",,"F",,"01/11/2016","month","30/11/2016",,,"BD","Hippie",,,,,"28/02/2020",,,,,,,,,,,"DOB approx, born before 30/11/2016"
"219","Hippie","Hipp",,"F",,"22/10/2012","day","22/10/2012",,,"BD","Hakie","Pik",,,,"07/03/2020",,,,,,,,,,,"assume that she died"
"165","Hleka","Hlek",,"F",,"01/01/2009","year","28/01/2012",,,"AK","Hamba",,,,,"16/11/2015",,,,,,,,,,,"Born in 2009; probably dead body not found"
"237","Hlokoloza","Hlo","Hlebe","M",,"23/12/2012","day","23/12/2012",,,"AK","Hleka","Yster","16/05/2017","BD","16/05/2017","20/11/2019",,,,,,,,,,,
"302","Hluhluwe","Hlu",,"M",,"18/10/2014","day","18/10/2014",,,"AK","Hleka",,"27/02/2020",,,"27/02/2020",,,,,,,,,,,
"196","Hola","Hol",,"M",,"11/09/2012","day","11/09/2012",,,"AK","Hamba","Sanbonani","15/02/2018",,,"10/03/2018",,,,,,,,,,,
"473","Hondjie","Hond",,"F",,"01/11/2016","month","29/11/2016",,"PR","BD","Heerlik",,"13/01/2024","PR","15/01/2024","31/01/2024",,,,,,,,,,"Yes","DOB approx, born before 01/12/2016"
"907","Hotel","Hot",,"M",,"01/11/2023","month","27/11/2023",,,"BD","Heerlik",,"12/09/2024",,,"12/09/2024",,,,,,,,,,"No",
"379","Huge","Huge",,"F",,"01/01/2012","year","12/01/2015",,,"CR",,,,,,"14/01/2016",,,,,,,,,,,"Born 2012, fate unknown"
"292","Humusha","Hum",,"M",,"22/09/2014","day","22/09/2014",,,"AK","Hamba",,"21/05/2016",,,"21/05/2016",,,,,,,,,,,"Presumed dead"
"112","Hwahwaza","Hwa",,"M",,"16/09/2011","day","16/09/2011",,,"AK","Hamba","Sanbonani","04/06/2016","BD","08/06/2016","11/12/2017",,,,,,,,,,,"seen once more in BD in Jan 2018"
"352","Iceland","Icel",,"F",,,,"30/12/2014",,,"CR",,,,,,"18/07/2018",,,,,,,,,,,"Last seen few days before CR last followed"
"132","Idwala","Idwa",,"F",,"10/11/2011","day","10/11/2011",,,"AK","Isilonda","Sanbonani","29/02/2016","IF",,"29/06/2016",,,,,,,,,,,"Last seen with Ifamily"
"6","Ifu","Ifu",,"M",,"02/11/2010","day","02/11/2010",,,"AK","Isilonda",,"30/03/2015",,,"30/03/2015",,,,,,,,,,,
"287","Iggy","Igg",,"M",,"01/01/2013","year","18/08/2014",,,"LT","India",,"15/03/2019",,,"15/03/2019",,,,,,,,,,,
"328","Ihlane","Ihl",,"M",,"03/11/2014","day","03/11/2014",,,"AK","Isilonda",,"29/02/2016","IF","29/04/2016","07/04/2017",,,,,,,,,,,"Ifamily not followed regurlarly"
"209","Ijinja","Iji",,"M",,"09/10/2012","day","09/10/2012",,,"AK","Isilonda","Sanbonani","03/03/2016","IF",,"29/06/2016",,,,,,,,,,,"29.06.2016 = last recorded date of IFamily"
"257","Ilonga","Ilon",,"F",,"04/11/2013","day","04/11/2013",,,"AK","Isilonda","Quito","22/01/2016","IF",,"29/06/2016",,,,,,,,,,,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of Ifamily"
"709","Imposter","Imp","Lennon Imposter","M",,"01/01/2012","year",,,,"LT",,,"22/05/2017","LTsplit",,,"LT","23/11/2017","07/02/2018","LTsplit2",,,,,,"No","Returned LT, dissappeared & then joined Split_2 LT"
"235","India","Indi",,"F",,"01/01/2009","year","15/11/2012",,,"LT","Diana",,,,,"19/12/2017",,,,,,,,,,,"Probably born in 2009. Died on the 19/12/2017."
"166","Inhlanhla","Inhl",,"F",,"01/01/2009","year","28/01/2012",,"IF","AK","Isilonda","Sanbonani","29/02/2016","IF",,,,,,,,,,,,"Yes","Born in 2009, last seen in Ifamily 29/06/2016 . Occassionally seen during encounter. On the 07/2022 I-F was followed again."
"265","Inkwazi","Inkw",,"F",,"18/11/2013","day","18/11/2013",,,"AK","Inhlanhla","Yster","22/01/2016","IF",,"29/06/2016",,,,,,,,,,,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of IFamily"
"363","Inner","Inn",,"M",,"01/01/2012","year","31/12/2014",,,"CR",,,"31/01/2017",,,"31/01/2017",,,,,,,,,,,"Born 2012, Disappeared, probably migrated"
"342","Intaba","Int",,"M",,"27/11/2014","day","27/11/2014",,,"AK","Inhlanhla",,"29/02/2016","IF",,"09/06/2016",,,,,,,,,,,"Ifamily not followed regurlarly"
"411","Ireland","Ire",,"M",,"01/01/2014","year","08/11/2015",,,"CR","Iceland",,"12/02/2015",,,"12/02/2015",,,,,,,,,,,"Born 2014, presumed dead"
"503","Ischia","Isc",,"M",,,,"16/10/2017",,,"CR","Iceland",,"18/07/2018",,,"18/07/2018",,,,,,,,,,,"Last seen few days before CR last followed"
"62","Isilonda","Isil",,"F",,,,"18/12/2010",,,"AK",,,"29/02/2016","IF","29/04/2016","07/04/2017",,,,,,,,,,,"29.02.2016 Last time w/ rest of AK, 07.04.2017 = last recorded date of Ifamily"
"58","Istanbul","Ist",,"M",,,,"15/12/2010",,,"NH",,,"09/01/2012",,,"09/01/2012",,,,,,,,,,,
"167","Izulu","Izu",,"M",,"01/01/2008","year","28/01/2012",,,"AK","Isilonda",,"23/03/2013",,,"23/03/2013",,,,,,,,,,,"Probably born in 2008"
"108","Jackie","Jac","Little Jackie;JD","M",,"01/01/2009","year","03/08/2011",,,"LT",,,"20/06/2014",,,"20/06/2014",,,,,,,,,,,"Probably born in 2009;fate unknown"
"278","Jagerbomb","Jag",,"M",,,,"08/05/2014",,,,,,,"BD","08/05/2014","10/01/2015",,,,,,,,,,,
"74","Jakarta","Jaka",,"F","1",,,"18/01/2011",,,"NH",,,"14/04/2016","Iceland",,"14/04/2016",,,,,,,,,,,"UNK birth date + Split group"
"439","Jalitah",,,,,"01/01/2015","year","27/11/2015",,,"CR","Brownie",,,,,"29/09/2016",,,,,,,,,,,"Born 2015, presumed dead"
"710","Jamaica","Jama",,"F",,,,,,,"CR",,,,,,,,,,,,,,,,"No","Only recorded once, date on logbook is incorrect (2005)"
"80","James","Jam",,"M","21",,,"28/01/2011",,,,,,,"LT","28/01/2011","08/06/2012",,,,,,,,,,,
"450","Jane","Jane",,"F",,"15/01/2016","day","15/01/2016",,,"LT","Jenny",,"21/02/2018","LTsplit","21/02/2018","21/02/2018",,,,,,,,,,,"LTSplit not followed"
"353","Japan","Jap",,"M",,,,"30/12/2014",,,,,,,"CR","20/11/2014","15/05/2015",,,,,,,,,,,
"455","Java","Java",,"F",,"01/01/2012","year","28/03/2016",,,"CR","Jamaica",,,,,"20/07/2018",,,,,,,,,,,"Born 2012, had first baby 27/11/2015, seen on last day CR followed 2018/07/20"
"310","Jeddah","Jed",,"M",,"27/10/2014","day","27/10/2014",,,"NH","Jakarta",,"08/03/2017",,,"08/03/2017",,,,,,,,,,,"Bottom injuries bleeding, very weak, injuries appeared several months before last sighting"
"508","Jelly","Jell",,"F",,"19/10/2017","day","19/10/2017",,,"LT","Jenny",,"21/02/2018","LTsplit",,"03/03/2018",,,,,,,,,,,
"288","Jenny","Jenn","OldCamilla","F",,,,"16/11/2011",,,"LT",,,"20/02/2018","LTSplit",,"03/03/2018",,,,,,,,,,"No","Unclear when switch from Cami to Jenny happened -  OldCamilla = Jenny"
"516","Jersey","Jers",,"F",,,,"26/10/2017",,,"CR","Java",,,,,"20/07/2018",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
"413","Jiamusi","Jia",,"M",,"09/11/2015","day","09/11/2015",,,"NH","Jinka",,"13/04/2016","Iceland",,"12/07/2016",,,,,,,,,,,"Split group, lsat seen in Iceland"
"213","Jillin","Jill",,"F",,"15/10/2012","day","15/10/2012",,,"NH","Jakarta",,"19/04/2016","Iceland",,"12/07/2016",,,,,,,,,,,"Split group"
"67","Jimmy Hendricks","Jim",,"M","3",,,"24/12/2010",,,,,,,"RC",,"25/11/2011",,,,,,,,,,"No",
"37","Jinka","Jink",,"F","1","22/11/2010","day","22/11/2010",,,"NH","Jakarta",,"13/04/2016","Iceland",,"12/07/2016",,,,,,,,,,,"Split group"
"255","Jixi","Jix",,"M","1","31/10/2013","day","31/10/2013",,,"NH","Jakarta","Chernobyl","30/05/2018",,,"08/06/2018",,,,,,,,,,,
"290","Joe","Joe",,"M",,"01/01/2013","year","18/09/2014",,,"LT",,,"07/12/2018",,,"07/12/2018",,,,,,,,,,"No","Mother = Kaya? Probably scanned as Liam from april 2015 - unclear if this has been rectified in the scan data or not"
"406","Johannesburg","Joha",,"F",,"30/10/2015","day","30/10/2015",,,"NH","Jakarta",,"13/04/2016","Iceland",,"25/06/2016",,,,,,,,,,,"Split group, last seen in Iceland"
"136","Juneau","Jun",,"M",,"20/11/2011","day","20/11/2011",,,"NH","Jakarta",,"12/04/2016","IF","14/04/2016","25/10/2016",,,,,,,,,,,"Last seen in Ifamily, no data on exactly when he left, but before April 2017"
"924","Jupiter","Jupiter",,"M",,"01/01/2021","Year","28/06/2022",,"IF",,,,"Still present",,,"Still present",,,,,,,,,,"Yes",
"22","Kaiki","Kaik",,"F",,,,"09/11/2010",,,"BD",,,"15/11/2012","InBetweeners",,"30/08/2014",,,,,,,,,,,"Formed new group Inbetweeners"
"315","Kangaroo",,,,,"28/10/2014","day","28/10/2014",,,"CR","Krakatoa",,,,,"04/01/2017",,,,,,,,,,,"Born 2014, Dead, unclear if body found"
"68","Karen Zoid","Kare",,"F",,,,"24/12/2010",,,"RC",,,,,,"24/12/2010",,,,,,,,,,"No",
"445","Kate","Kate",,"F",,"09/12/2015","day","09/12/2015",,,"LT","Kaya",,"21/02/2018",,,"03/03/2018",,,,,,,,,,,
"441","Kauai","Kau",,"M",,,,"28/11/2015",,,,,,,"CR","28/11/2015","04/01/2017","BD","15/05/2017","02/03/2018",,,,,,,,"Mispelling Kuaui in logbook < 2017"
"240","Kaya","Kaya",,"F",,"07/02/2013","day","07/02/2013",,,"LT",,,"21/02/2018","LTsplit","21/02/2018","03/03/2018",,,,,,,,,,,"LTSplit not followed"
"597","Kekeke","Kek",,"M",,,,"31/05/2019",,,,,,,"AK","31/05/2019","18/04/2020","NH","09/05/2020","12/11/2020",,,,,,,,
"285","Kenneth","Ken","Joe","M",,"01/01/2013","year","15/08/2014",,,"LT","Kaya",,"18/11/2015",,,"18/11/2015",,,,,,,,,,"No","Mixed between Joe/Kenneth? no records between May and Spet 2015 - was this just an error?  - unclear if this has been rectified in the scan data or not"
"354","Kergelen","Ker",,"M","2",,,"30/12/2014",,,,,,,"CR","30/12/2014","26/05/2015",,,,,,,,,,,
"41","Kies","Kie",,"M",,"23/11/2010","day","23/11/2010",,,"BD","Kaiki",,"17/07/2015","AK","20/07/2015","24/12/2015",,,,,,,,,,,"Seen once more in AK the Jan after leaving"
"423","Kilimanjaro","Kil",,"M","6",,,"14/11/2015",,,"RL",,,,,"14/11/2015","15/12/2015",,,,,,,,,,,"Released in BD with Eve on 14/11/2015"
"838","Knoffel","Kno",,"M",,,,"07/11/2022",,,,,,,"BD","07/11/2022","19/01/2024","PR","31/01/2024","31/01/2024","BD","22/04/2024","30/04/2024",,,,"No",
"810","Knysna","Kny",,"M",,,,"17/10/2022",,,,,,,"NH","17/10/2022","18/03/2025",,,,,,,,,,"Yes",
"541","Kodiak","Kodi","Schnauzli","F",,,,"12/04/2018",,"CR","CR",,,,,,,,,,,,,,,,"Yes","Last seen few days before CR last followed 2018/07/20"
"759","Kohama","Koh",,"m",,"01/01/2021","year","03/12/2021",,,"CR","Kodiak",,"Still present",,,"Still present",,,,,,,,,,"Yes",
