"","immigrant_code","group","grooming_rate","in_grooming_rate","out_grooming_rate","in_degree_normalized","out_degree_normalized","total_degree_normalized","eigenvector_centrality","total_grooming_days","in_grooming_days","out_grooming_days","days_observed","median_group_size","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"131","ben","LT",0.0423728813559322,0.0254237288135593,0.0169491525423729,0.037037037037037,0.0740740740740741,0.111111111111111,0.0375530225159932,5,3,2,118,28,131,NA,NA,NA,"LT","2018-06-08","2020-07-18",771,NA,NA,NA,NA,FALSE,0,NA,"2019-06-08",TRUE,FALSE,0,0.515,NA,"2019-06-08",NA,10,0,0.924,0.601,"2020-05-26","2020-05-26",27,8,"2019-06-08",0,NA,53,53
"132","guz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,"Gugu","AK","2018-10-01","IF","2023-05-22","2024-04-17",331,"2021-10-01",FALSE,900,"gugu",FALSE,900,0.91,"2024-05-21",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-05-21",NA,NA,NA,NA
"133","yaz","BD",0.364406779661017,0.322033898305085,0.211864406779661,0.666666666666667,0.404761904761905,0.714285714285714,0.314188046379553,43,38,25,118,43,133,"Yalu","KB","2018-11-14","BD","2024-04-24","2025-01-09",260,"2021-11-14",FALSE,794,"yalu",FALSE,794,0.985,"2025-04-24",FALSE,TRUE,11,0.464,0.465,"2024-12-17","2024-12-17",16,11,0.464,0.465,"2024-12-17","2024-12-17",16,11,"2025-04-24",128,128,23,23
"134","gil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,"Ginqinka","AK","2018-11-20","IF","2023-05-22","2024-09-05",472,"2021-11-20",TRUE,1097,"ginq",TRUE,1097,0.698,"2024-05-21",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-05-21",NA,NA,NA,NA
"135","non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,"Nooiens","BD","2018-11-22","PR","2024-01-31","2024-01-31",0,"2021-11-22",TRUE,1097,"nooi",TRUE,1097,0.452,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA
"136","dal","BD",0.134453781512605,0.100840336134454,0.0672268907563025,0.272727272727273,0.207792207792208,0.376623376623377,0.0669159950048477,32,24,16,238,78,136,"Daenerys","LT","2018-11-28","BD","2023-04-25","2024-09-19",513,"2021-11-28",TRUE,1097,"daen",TRUE,1097,0.724,"2024-04-24",TRUE,TRUE,8,0.158,0.063,"2024-04-15","2024-01-06",18,8,0.13,0.1,"2024-05-06","2024-05-06",20,10,"2024-04-24",9,109,136,136
"137","geo","LT",0,0,0,0,0,0,0,0,0,0,134,27,137,NA,NA,NA,"LT","2019-03-18","2022-03-18",1096,NA,NA,NA,NA,FALSE,0,NA,"2020-03-17",TRUE,TRUE,1,0.721,NA,"2020-03-10","2020-03-10",2,1,0.659,NA,"2021-12-10","2021-12-10",21,11,"2020-03-17",7,7,98,98
"138","was","NH",0.058252427184466,0.0388349514563107,0.0388349514563107,0.0909090909090909,0.0909090909090909,0.113636363636364,0.0250693525743214,6,4,4,103,45,138,NA,NA,NA,"NH","2019-03-18","2020-02-26",345,NA,NA,NA,NA,FALSE,0,NA,"2020-03-17",FALSE,TRUE,1,0.538,0.225,"2019-08-30","2019-08-30",1,1,0.538,0.225,"2019-08-30","2019-08-30",1,1,"2020-03-17",200,200,180,180
"139","flu","BD",0.03125,0.0178571428571429,0.0267857142857143,0.072463768115942,0.0869565217391304,0.130434782608696,0.0146855001205774,7,4,6,224,70,139,NA,NA,NA,"BD","2019-04-30","2023-01-13",1354,NA,NA,NA,NA,FALSE,0,NA,"2020-04-29",TRUE,TRUE,8,0.549,0.488,"2020-03-21","2020-03-07",9,8,0.673,0.655,"2022-11-18","2022-11-18",71,53,"2020-04-29",39,53,56,56
"140","kek","AK",0.12258064516129,0.12258064516129,0.0193548387096774,0.344827586206897,0.0689655172413793,0.344827586206897,0.0714341419292612,19,19,3,155,30,140,NA,NA,NA,"AK","2019-05-31","2020-04-18",323,NA,NA,NA,NA,FALSE,0,NA,"2020-05-30",TRUE,TRUE,1,0.53,0,"2020-04-01","2019-09-09",6,1,0.53,0,"2020-04-01","2019-09-09",6,1,"2020-05-30",59,264,17,222
"141","lip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,"NH","2019-06-01","2020-08-17",443,NA,NA,NA,NA,FALSE,0,NA,"2020-05-31",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-05-31",NA,NA,NA,NA
"142","oua","NH",0.274611398963731,0.238341968911917,0.145077720207254,0.555555555555556,0.355555555555556,0.622222222222222,0.205481732995461,53,46,28,193,46,142,NA,NA,NA,"NH","2019-06-03","2020-11-30",546,NA,NA,NA,NA,FALSE,0,NA,"2020-06-02",TRUE,TRUE,10,0.712,0.431,"2020-06-02","2020-05-27",28,10,0.954,1,"2020-11-17","2020-11-07",47,23,"2020-06-02",0,6,13,23
"143","tas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,"LT","2019-12-04","2021-11-23",720,NA,NA,NA,NA,FALSE,0,NA,"2020-12-03",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2020-12-03",NA,NA,NA,NA
"144","tam","NH",0.0442477876106195,0.0442477876106195,0.0132743362831858,0.217391304347826,0.0652173913043478,0.239130434782609,0.0120215267559052,10,10,3,226,47,144,NA,NA,NA,"NH","2020-05-15","2023-03-03",1022,NA,NA,NA,NA,FALSE,0,NA,"2021-05-15",TRUE,TRUE,6,0.113,0.3,"2021-05-10","2021-05-10",10,6,0.255,0.457,"2022-12-14","2022-12-14",35,21,"2021-05-15",5,5,79,79
"145","utr","NH",0.120689655172414,0.103448275862069,0.0517241379310345,0.41304347826087,0.217391304347826,0.5,0.0445367544363569,28,24,12,232,47,145,NA,NA,NA,"NH","2020-06-02","2020-10-15",135,NA,NA,NA,NA,FALSE,0,NA,"2021-06-02",TRUE,TRUE,6,0.492,1,"2021-05-28","2021-05-28",12,6,NA,NA,NA,NA,0,0,"2021-06-02",5,5,NA,NA
"146","vla","NH",0.0869565217391304,0.0652173913043478,0.0434782608695652,0.282608695652174,0.195652173913043,0.369565217391304,0.0174056445436344,20,15,10,230,47,146,NA,NA,NA,"NH","2020-05-28","2021-06-11",379,NA,NA,NA,NA,FALSE,0,NA,"2021-05-28",TRUE,TRUE,8,0.135,0.223,"2021-05-24","2021-05-24",26,8,0.029,0.068,"2021-05-29","2021-05-29",27,9,"2021-05-28",4,4,13,13
"147","fle","NH",0.239495798319328,0.205882352941176,0.138655462184874,0.521739130434783,0.41304347826087,0.608695652173913,0.102956571900498,57,49,33,238,47,147,NA,NA,NA,"NH","2020-07-31","2021-11-04",461,NA,NA,NA,NA,FALSE,0,NA,"2021-07-31",TRUE,TRUE,16,0.051,0.184,"2021-07-28","2021-07-28",22,16,0.052,0.276,"2021-10-04","2021-10-04",26,19,"2021-07-31",3,3,31,31
"148","war","NH",0.188755020080321,0.160642570281124,0.100401606425703,0.488372093023256,0.395348837209302,0.581395348837209,0.078045219351671,47,40,25,249,44,148,NA,NA,NA,"NH","2020-09-23","2021-12-20",453,NA,NA,NA,NA,FALSE,0,NA,"2021-09-23",TRUE,TRUE,9,0.171,0.428,"2021-09-20","2021-09-17",20,9,0.243,0.428,"2021-12-16","2021-09-17",22,9,"2021-09-23",3,6,4,94
"149","mui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,"Mielies","BD","2020-11-25","PR","2024-01-31","2024-01-31",0,"2023-11-25",TRUE,1096,"miel",TRUE,1096,0.236,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA
"150","sio","NH",0.267857142857143,0.227678571428571,0.169642857142857,0.465116279069767,0.488372093023256,0.558139534883721,0.112122697706806,60,51,38,224,44,150,NA,NA,NA,"NH","2021-01-15","2021-12-22",341,NA,NA,NA,NA,FALSE,0,NA,"2022-01-15",FALSE,TRUE,28,0,0,"2021-11-06","2021-10-27",63,28,0,0,"2021-11-06","2021-10-27",63,28,"2022-01-15",70,80,46,56
"151","rim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,"Rabat","NH","2021-01-01","RB","2024-02-02","2024-02-02",0,"2024-01-01",TRUE,1096,"raba",TRUE,1096,0.306,"2025-02-01",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-02-01",NA,NA,NA,NA
"152","tch","AK",0.195767195767196,0.137566137566138,0.148148148148148,0.571428571428571,0.464285714285714,0.607142857142857,0.100149264059839,37,26,28,189,29,152,NA,NA,NA,"AK","2021-05-11","2022-03-17",310,NA,NA,NA,NA,FALSE,0,NA,"2022-05-11",TRUE,TRUE,6,0.333,1,"2022-02-24","2021-10-09",17,6,0.333,1,"2022-02-24","2021-10-09",17,6,"2022-05-11",76,214,21,159
"153","buk","AK",0.146666666666667,0.115555555555556,0.102222222222222,0.428571428571429,0.392857142857143,0.464285714285714,0.0628405172133519,33,26,23,225,29,153,NA,NA,NA,"AK","2021-05-11","2024-09-09",1217,NA,NA,NA,NA,FALSE,0,NA,"2022-05-11",TRUE,TRUE,4,0.18,0,"2022-05-06","2021-12-21",16,4,0.436,0,"2024-06-05","2024-06-05",106,37,"2022-05-11",5,141,96,96
"154","oke","KB",0.438709677419355,0.283870967741935,0.380645161290323,0.6,0.8,0.8,0.329159891366572,68,44,59,155,21,154,NA,NA,NA,"KB","2021-05-31","2023-01-28",607,NA,NA,NA,NA,FALSE,0,NA,"2022-05-31",TRUE,TRUE,1,0.513,1,"2022-04-16","2022-01-19",6,1,0.435,1,"2022-12-10","2022-11-26",13,3,"2022-05-31",45,132,49,63
"155","eto","KB",0.197916666666667,0.197916666666667,0.0416666666666667,0.368421052631579,0.0526315789473684,0.368421052631579,0.0958403399742271,19,19,4,96,20,155,NA,NA,NA,"KB","2021-06-02","2021-12-10",191,NA,NA,NA,NA,FALSE,0,NA,"2022-06-02",FALSE,TRUE,1,0.531,0,"2021-12-04","2021-11-29",2,1,0.531,NA,"2021-12-04",NA,2,1,"2022-06-02",180,185,6,NA
"156","apa","LT",0.320754716981132,0.226415094339623,0.216981132075472,0.294117647058824,0.382352941176471,0.470588235294118,0.24332915009719,34,24,23,106,35,156,NA,NA,NA,"LT","2021-06-04","2022-07-26",417,NA,NA,NA,NA,FALSE,0,NA,"2022-06-04",TRUE,TRUE,3,0.459,0.609,"2021-11-13","2021-11-13",6,3,0.459,0.609,"2021-11-13","2021-11-13",6,3,"2022-06-04",203,203,255,255
"157","mom","LT",0.135294117647059,0.0941176470588235,0.0882352941176471,0.294117647058824,0.294117647058824,0.441176470588235,0.090304767816532,23,16,15,170,35,157,NA,NA,NA,"LT","2021-06-04","2022-12-19",563,NA,NA,NA,NA,FALSE,0,NA,"2022-06-04",TRUE,TRUE,3,0.32,0.013,"2022-05-03","2021-11-29",5,3,0.32,0.013,"2022-05-03","2021-11-29",5,3,"2022-06-04",32,187,230,385
"158","plainjane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,"CR",NA,"BD","2023-03-01","2024-04-04",400,NA,NA,NA,NA,FALSE,0,NA,"2024-02-29",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-02-29",NA,NA,NA,NA
"159","zan_2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,"CR","2015-01-01","2015-02-01",31,NA,NA,NA,NA,FALSE,0,NA,"2016-01-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2016-01-01",NA,NA,NA,NA
"160","hem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,"Heerlik","BD","2021-11-04","PR","2024-01-31","2024-01-31",0,"2024-11-04",FALSE,1052,"heer",FALSE,1052,0.396,"2025-01-30",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-01-30",NA,NA,NA,NA
"161","fur","KB",0.34375,0.28125,0.2578125,0.590909090909091,0.590909090909091,0.727272727272727,0.308863754528306,44,36,33,128,23,161,NA,NA,NA,"KB","2022-03-19","2023-10-14",574,NA,NA,NA,NA,FALSE,0,NA,"2023-03-19",TRUE,TRUE,3,0.323,0.099,"2022-11-26","2022-11-26",6,3,0.788,0.099,"2023-07-21","2022-11-26",9,3,"2023-03-19",113,113,85,322
"162","vry","NH",0.181818181818182,0.126482213438735,0.146245059288538,0.384615384615385,0.384615384615385,0.5,0.084942274476136,46,32,37,253,53,162,NA,NA,NA,"NH","2022-06-10","2024-12-12",916,NA,NA,NA,NA,FALSE,0,NA,"2023-06-10",TRUE,TRUE,23,0.227,0.059,"2023-06-09","2023-06-01",25,23,0.266,0.323,"2024-04-18","2024-03-01",45,35,"2023-06-10",1,9,238,286
"163","erm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,"NH","2022-06-16","2022-09-09",85,NA,NA,NA,NA,FALSE,0,NA,"2023-06-16",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-16",NA,NA,NA,NA
"164","newmale3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,"NH","2022-06-16","2022-08-06",51,NA,NA,NA,NA,FALSE,0,NA,"2023-06-16",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-16",NA,NA,NA,NA
"165","eiv","CR",0.0196078431372549,0.0196078431372549,0,0.0263157894736842,0,0.0263157894736842,0.00749117469098759,1,1,0,51,39,165,NA,NA,NA,"CR","2022-06-09","2024-04-04",665,NA,NA,NA,NA,FALSE,0,NA,"2023-06-09",TRUE,TRUE,1,0.675,0.596,"2023-06-09","2023-06-09",1,1,0.675,0.596,"2023-06-09","2023-06-09",1,1,"2023-06-09",0,0,300,300
"166","rya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,"LT","2022-06-06","2023-02-01",240,NA,NA,NA,NA,FALSE,0,NA,"2023-06-06",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2023-06-06",NA,NA,NA,NA
"167","que","KB",0.24822695035461,0.226950354609929,0.120567375886525,0.583333333333333,0.375,0.625,0.150056288512792,35,32,17,141,25,167,NA,NA,NA,"KB","2022-05-18","2025-02-27",1016,NA,NA,NA,NA,FALSE,0,NA,"2023-05-18",TRUE,TRUE,5,0.241,0.639,"2023-04-25","2023-04-25",25,5,0.192,0,"2024-08-26","2024-08-26",42,15,"2023-05-18",23,23,185,185
"168","dak","NH",0.0871794871794872,0.0769230769230769,0.0564102564102564,0.245283018867925,0.150943396226415,0.245283018867925,0.0434546868932713,17,15,11,195,54,168,NA,NA,NA,"NH","2022-09-10","2023-09-05",360,NA,NA,NA,NA,FALSE,0,NA,"2023-09-10",FALSE,TRUE,3,0.235,0.397,"2023-06-21","2023-06-02",15,3,0.235,0.397,"2023-06-21","2023-06-02",15,3,"2023-09-10",81,100,76,95
"169","sta","LT",0.0483870967741935,0.0483870967741935,0.032258064516129,0.0547945205479452,0.0273972602739726,0.0547945205479452,0.0849344139554951,3,3,2,62,37.5,169,NA,NA,NA,"LT","2022-07-29","2023-12-15",504,NA,NA,NA,NA,FALSE,0,NA,"2023-07-29",TRUE,FALSE,0,0.467,NA,"2023-04-04",NA,4,0,0.467,NA,"2023-04-04",NA,4,0,"2023-07-29",116,NA,255,NA
"170","kny","NH",0.2125,0.183333333333333,0.133333333333333,0.538461538461538,0.423076923076923,0.576923076923077,0.141020104514794,51,44,32,240,53,170,NA,NA,NA,"NH","2022-10-17","2025-03-20",885,NA,NA,NA,NA,FALSE,0,NA,"2023-10-17",TRUE,TRUE,5,0.256,0.172,"2023-10-13","2023-08-11",12,5,0.44,0.127,"2025-03-18","2025-03-18",29,13,"2023-10-17",4,67,2,2
"171","kno","BD",0.122362869198312,0.113924050632911,0.0168776371308017,0.25974025974026,0.051948051948052,0.285714285714286,0.0658856652193385,29,27,4,237,78,171,NA,NA,NA,"BD","2022-11-07","2024-01-19",438,NA,NA,NA,NA,FALSE,0,NA,"2023-11-07",TRUE,TRUE,9,0.288,0.178,"2023-10-12","2023-06-22",15,9,0.23,0.178,"2023-12-19","2023-06-22",16,9,"2023-11-07",26,138,31,211
"172","ves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,"CR","2021-05-25","2022-12-08",562,NA,NA,NA,NA,FALSE,0,NA,"2022-05-25",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2022-05-25",NA,NA,NA,NA
"173","bob","BD",0.162790697674419,0.13953488372093,0.0755813953488372,0.220779220779221,0.142857142857143,0.272727272727273,0.0578625132455355,28,24,13,172,78,173,NA,NA,NA,"BD","2023-04-08","2024-01-15",282,NA,NA,NA,NA,FALSE,0,NA,"2024-04-07",FALSE,TRUE,5,0.314,0.224,"2023-12-08","2023-12-08",9,5,0.314,0.224,"2023-12-08","2023-12-08",9,5,"2024-04-07",121,121,38,38
"174","cai","NH",0.288461538461538,0.278846153846154,0.0865384615384615,0.365384615384615,0.115384615384615,0.384615384615385,0.198350279882108,30,29,9,104,53,174,NA,NA,NA,"NH","2023-03-25","2023-10-31",220,NA,NA,NA,NA,FALSE,0,NA,"2024-03-24",FALSE,TRUE,7,0.287,0.347,"2023-08-11","2023-06-14",14,7,0.287,0.347,"2023-08-11","2023-06-14",14,7,"2024-03-24",226,284,81,139
"175","hav","NH",0.32967032967033,0.318681318681319,0.0659340659340659,0.25,0.0961538461538462,0.269230769230769,0.184663330845819,30,29,6,91,53,175,NA,NA,NA,"NH","2023-03-25","2024-10-25",580,NA,NA,NA,NA,FALSE,0,NA,"2024-03-24",TRUE,TRUE,11,0.121,0.155,"2023-07-27","2023-07-27",16,11,0.121,0.155,"2023-07-27","2023-07-27",16,11,"2024-03-24",241,241,456,456
"176","san","IF",0,0,0,0,0,0,0,0,0,0,5,22,176,NA,NA,NA,"IF","2023-04-10","2023-08-04",116,NA,NA,NA,NA,FALSE,0,NA,"2024-04-09",TRUE,TRUE,2,0.672,0.471,"2023-05-11","2023-05-11",2,2,0.672,0.471,"2023-05-11","2023-05-11",2,2,"2024-04-09",334,334,85,85
"177","tho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,"IF","2023-04-14","2023-08-04",112,NA,NA,NA,NA,FALSE,0,NA,"2024-04-13",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2024-04-13",NA,NA,NA,NA
"178","tot","BD",0.125,0.114130434782609,0.0380434782608696,0.246753246753247,0.103896103896104,0.272727272727273,0.0760790054520178,23,21,7,184,78,178,NA,NA,NA,"BD","2023-04-14","2024-01-23",284,NA,NA,NA,NA,FALSE,0,NA,"2024-04-13",FALSE,TRUE,5,0.21,0.159,"2024-01-15","2023-12-08",10,5,0.21,0.159,"2024-01-15","2023-12-08",10,5,"2024-04-13",89,127,8,46
"179","win","BD",0.11038961038961,0.0779220779220779,0.0714285714285714,0.142857142857143,0.142857142857143,0.207792207792208,0.0776983418529403,17,12,11,154,78,179,NA,NA,NA,"BD","2023-04-15","2023-12-23",252,NA,NA,NA,NA,FALSE,0,NA,"2024-04-14",TRUE,TRUE,5,0.29,0.164,"2023-11-21","2023-06-29",6,5,0.29,0.164,"2023-11-21","2023-06-29",6,5,"2024-04-14",145,290,32,177
"180","bra","BD",0.0979591836734694,0.0897959183673469,0.0408163265306122,0.194805194805195,0.116883116883117,0.233766233766234,0.0751459463767604,24,22,10,245,78,180,NA,NA,NA,"BD","2023-04-17","2024-11-25",588,NA,NA,NA,NA,FALSE,0,NA,"2024-04-16",TRUE,TRUE,6,0.181,0.481,"2024-04-16","2023-12-08",11,6,0.626,1,"2024-11-20","2024-11-20",25,15,"2024-04-16",0,130,5,5
"181","boo","BD",0.210743801652893,0.181818181818182,0.136363636363636,0.383561643835616,0.301369863013699,0.397260273972603,0.152766536136254,51,44,33,242,74,181,NA,NA,NA,"BD","2023-07-15","2025-05-22",677,NA,NA,NA,NA,FALSE,0,NA,"2024-07-14",TRUE,TRUE,8,0.393,0.545,"2024-07-08","2024-07-08",15,8,0.426,0.678,"2025-04-01","2025-04-01",20,12,"2024-07-14",6,6,51,51
"182","ush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,"RB","2024-02-02","2024-02-02",0,NA,NA,NA,NA,FALSE,0,NA,"2025-02-01",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-02-01",NA,NA,NA,NA
"183","oti","KB",0.212121212121212,0.151515151515152,0.0909090909090909,0.25,0.166666666666667,0.291666666666667,0.211381716809556,14,10,6,66,25,183,NA,NA,NA,"KB","2024-04-11","2025-04-01",355,NA,NA,NA,NA,FALSE,0,NA,"2025-04-11",FALSE,FALSE,0,0.648,NA,"2024-10-15",NA,2,0,0.648,NA,"2024-10-15",NA,2,0,"2025-04-11",178,NA,168,NA
"184","map",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,"NH","2024-04-30","2024-07-12",73,NA,NA,NA,NA,FALSE,0,NA,"2025-04-30",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2025-04-30",NA,NA,NA,NA
"185","lop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,"BD","2025-05-05","2025-05-13",8,NA,NA,NA,NA,FALSE,0,NA,"2026-05-05",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2026-05-05",NA,NA,NA,NA
"186","san_2011","AK",0.0348837209302326,0.0348837209302326,0.0116279069767442,0.2,0.04,0.2,0.00158568544168373,3,3,1,86,26,186,NA,NA,NA,"AK","2011-01-18","2012-12-14",696,NA,NA,NA,NA,FALSE,0,NA,"2012-01-18",TRUE,TRUE,4,0.648,0.685,"2011-12-15","2011-12-15",12,4,0.855,1,"2012-11-09","2012-11-09",34,23,"2012-01-18",34,34,35,35
